"site","elev","slope","jdate","wind_max","wind_avg","gps_err","gcp_err","pareasegartr","densegartr","pareaseg","denseg","seg","avght","elev_sc","slope_sc","jdate_sc","wind_max_sc","wind_avg_sc","gps_err_sc","gcp_err_sc","pareasegartr_sc","densegartr_sc","pareaseg_sc","denseg_sc","seg_sc","avght_sc"
"Cold",1121.148124,3.219933835,160,5.2,2,9.34,0.009,0.0198379632243929,0.0639057239038643,0.239555471816249,1.42868686864529,0.167675280758617,0.116666305277133,-0.00846085847302233,-0.159726220470692,-0.0253568917511287,0.061625207346136,0.0784587719408885,-0.190440296446664,-0.476261296798651,-0.41508351932002,-0.381602429160258,0.507749924730351,0.631732773906726,-0.22278224805185,0.219613715520243
"CorralsTrail",1030.869626,14.00393281,139,4.4,1.7,7.685,1.101,0.0141573275745152,0.0118857142856181,0.114483393976752,0.11262857142766,1.01646849041571,0.111753147929776,-0.236456866699103,0.577956970587714,-0.690975300218249,-0.212264603081135,-0.0896671679324441,-0.275426191560516,0.67998000178767,-0.445872017926252,-0.439786814461676,-0.211020057719423,-0.573432295662602,1.34634561798055,0.170496752664605
"InitialPointBurn",842.5744215,2.221611996,153,4.3,1,8.884,0.624,0.159186735872537,0.5464285714108,0.161767170726559,0.598095238075787,0.270470588007024,0.13628132512225,-0.711991528276144,-0.228016772204244,-0.247229694573502,-0.246500829384544,-0.481961027636887,-0.213856349722747,0.174918555427161,0.340173419672334,0.158099417919625,0.0607125301746688,-0.12887184547471,-0.0327489404503442,0.415705583341956
"LowerDryCreek",1115.330816,23.35782219,179,5.6,2.2,38.901,0.923,0.254887435003107,1.48446078433107,0.299469009775694,1.89401960786527,0.158112940611646,0.17089547422331,-0.0231523191420033,1.21781301866804,0.57686928733817,0.198570112559771,0.190542731856444,1.32754643797059,0.491508434801987,0.8588620002118,1.20728852999835,0.852063806545584,1.0578558143682,-0.240459739127863,0.761744139707517
"NorthHam",917.8640675,1.65970693,143,7.9,3.7,8.249,0.746,0.155049806972519,0.138603174599896,0.198376092613454,0.504380952369022,0.393306074866038,0.118977658056916,-0.521849477521659,-0.266454083179486,-0.564190841462607,0.986003317538177,1.03117243122311,-0.246464230929572,0.304095696844314,0.317751663107992,-0.298053324032698,0.271098370057462,-0.214689611976551,0.194331793908973,0.242720369878045
"PonyComplex1",1072.42001,1.862437167,165,3.4,1.1,9.841,0.039,0.0464979503535332,0.246975999995289,0.0618858551816508,0.43308799999174,0.14289441218143,0.0428050132267177,-0.13152244818163,-0.252586250986542,0.133123681693424,-0.554626866115225,-0.425919047679109,-0.16471344843939,-0.444496425958368,-0.270588954422981,-0.176838309362706,-0.513290018287052,-0.279975303418351,-0.268593584648971,-0.518779558218736
"PonyComplex2",1498.305926,1.640132577,165,5,1.2,14.994,0.028,0.0220561012869688,0.197346938771309,0.0930116936125125,0.743673469371924,0.125070608866908,0.0478440640418201,0.944041401005447,-0.267793073587165,0.133123681693424,-0.00684724526068194,-0.369877067721332,0.0998982237791459,-0.456143545266472,-0.403061424459999,-0.232348418676313,-0.334414615166341,0.00443972561504367,-0.301543690919019,-0.468404035064324
"SodaNaturalArea1",1308.529236,1.341363682,180,6.2,2.6,17.867,0.055,0.0323177842428457,0.137825311943618,0.0370666208858504,0.181604278075735,0.204106540212629,0.019257098013818,0.464765286172895,-0.288230463498229,0.608565402027081,0.403987470380225,0.414710651687554,0.24742962961727,-0.427555161510216,-0.347444090264061,-0.298923363481683,-0.655922338045122,-0.510268595029533,-0.155433329901292,-0.754188684177604
"SodaNaturalArea2",1312.960956,4.173999228,180,5.5,2.3,7.542,0.016,0.0377310882336318,0.459191919185008,0.0816007979194653,0.716498316487532,0.113888331684427,0.052445260121139,0.475957480238592,-0.0944630462791685,0.608565402027081,0.164333886256363,0.246584711814221,-0.282769383706305,-0.468849493602585,-0.318104503526261,0.0605252147858583,-0.399991276549971,-0.0204456043780999,-0.322215890617481,-0.422405757186864
"SouthTrail",1024.980117,2.068359256,144,2.7,0.8,7.183,1.047,0.222507787586413,0.764166666658637,0.224810644996196,0.775576923068774,0.289862473095091,0.130058663662893,-0.25133066912337,-0.238500079050223,-0.532494726773696,-0.794280450239087,-0.594044987552442,-0.301204390561817,0.622803234275159,0.683367426927449,0.401639496471499,0.423013674259843,0.033654942049873,0.00310001182729851,0.353497473535161
